house_age,dist_MRT,num_stores,Xs,Ys,dist_fr_cen,price
32.0,84.87881999999999,10,0.6660745446998629,1.5590030673500201,2.5531690813939556,37.9
19.5,306.5947,9,0.5978119715772341,1.265024938819,2.2569287862483054,42.2
13.3,561.9845,5,1.02749365336116,2.06248357084533,3.0890775590930217,47.3
13.3,561.9845,5,1.02749365336116,2.06248357084533,3.0890775590930217,54.8
5.0,390.5684,5,0.89682783664728,1.1630838474757,2.177555405437231,43.1
7.1,2175.03,3,-2.09118855012965,-0.7019923486746851,2.6801647595857774,32.1
34.5,623.4731,7,0.28775353449926505,1.14724164092354,2.158598682982215,40.3
20.3,287.6025,6,0.8774721667759592,1.27913560227025,2.2902230293734447,46.7
31.7,5512.0380000000005,1,-4.89150261994475,-2.09504232945573,5.5708619582045005,18.8
17.9,1783.18,3,-1.8655439352821002,-0.225511716978159,2.556225910687707,22.1
34.8,405.2134,1,0.0270909144441248,0.49488515585754106,1.5837221986998804,41.4
6.3,90.45606,9,0.972967726730625,0.605721137068234,1.6428190817410355,58.1
13.0,492.2313,5,0.413126137260231,-0.42255765039147797,0.5882264094940041,39.3
20.4,2469.645,4,-2.29729744757898,-0.924217978012282,2.871313452277098,23.8
13.2,1164.838,4,0.0240054937708192,2.4982564472299997,3.537831737462976,34.3
35.7,579.2083,2,1.26834093797754,1.5059958332362602,2.590998959347114,50.5
0.0,292.9978,6,1.1160174633423998,0.953214072179981,2.0160941130744905,70.1
17.7,350.8515,1,-0.23253761300811301,0.706233731015585,1.8803404606980958,37.4
16.9,368.1363,8,1.12961506856175,-0.14859068657737198,1.0018941922607496,42.3
1.5,23.382839999999998,7,0.776560141860275,-0.130817215899006,0.8787451253086228,47.7
4.5,2275.877,3,-2.19543728019175,-0.6939444024744439,2.7844361460834026,29.3
10.5,279.1726,7,1.20436027142062,0.7153900559339671,1.8154705793040764,51.6
14.7,1360.139,1,1.55682863746496,-1.85464172503632,1.3078711841946038,24.6
10.1,279.1726,7,1.20436027142062,0.7153900559339671,1.8154705793040764,47.9
39.6,480.6977,4,0.545270065529738,0.509010794858448,1.4989242202177684,38.8
29.3,1487.868,2,-1.6397545629791,0.677822444670368,2.7727490940351553,27.0
3.1,383.8624,5,1.04124125575012,1.3298820338673,2.3669182583402537,56.2
10.4,276.449,5,0.610066497874563,-1.44109942801716,0.45861198961973143,33.6
19.2,557.4780000000001,4,0.454998394408205,0.580495790982619,1.57520989171494,47.0
7.1,451.2438,5,1.3581996378531298,0.757083544149529,1.9117652285720363,57.1
25.9,4519.69,0,-3.7452577984469198,-2.3722444548714,4.533741138175829,22.1
29.6,769.4034,7,0.0441556848741602,1.5285160084422702,2.577392351345583,25.0
37.9,488.5727,1,0.106901177546475,0.496376461651642,1.5591764549836808,34.2
16.5,323.655,6,0.935190856725152,1.05736694322573,2.078855204792929,49.3
15.4,205.36700000000002,7,0.8847894261219771,1.6972571392743798,2.7074625335614217,55.1
13.9,4079.4179999999997,0,-1.6295062705273202,5.02076115265163,6.415366152727088,27.3
14.7,1935.009,2,-1.8867447748659198,-0.6084012174010279,2.489972505147928,22.9
12.0,1360.139,1,1.55682863746496,-1.85464172503632,1.3078711841946038,25.3
3.1,577.9615,6,1.3940223518239798,0.35640168821020096,1.5711913631544525,47.7
16.2,289.3248,5,0.9953490914086,1.45984911130788,2.486911715040065,46.2
13.6,4082.015,0,-2.9292489700564803,-3.10113683842309,4.094031037596001,15.9
16.8,4066.587,0,-2.9715602170453597,-2.94448550187098,4.0516849316233685,18.2
36.1,519.4617,5,0.43869643513148204,-0.654907396108843,0.3598975828908071,34.7
34.4,512.7871,6,0.936538860955101,2.06299427995691,3.077812745749418,34.1
2.7,533.4762,4,1.4323840401997399,0.6276486680950041,1.8270993228858676,53.9
36.6,488.8193,8,1.1675478570796498,0.145929576011375,1.2765378149647035,38.3
21.7,463.9623,9,1.13086555216392,0.16187202480575102,1.2745832231508485,42.0
35.9,640.7391,3,0.369171766761516,0.7385435310537,1.7415805454523048,61.5
24.2,4605.749,0,-3.7514584533530293,-2.52978913419181,4.590511899374189,13.4
29.4,4510.359,1,-3.79274475727323,-2.26335946933739,4.546865069048261,13.2
